period,industry,category,variable,measure,value_pct,unit,publication_flag,publisher,source_table,source_file,source_url,denominator_note
2021-22,Manufacturing,technology,data_analytics_pct,Data analytics,3.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,iot_pct,Internet of Things,9.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,ai_use_pct,Artificial intelligence use,1.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,any_ict_pct,Any ICT used,87.0,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,crm_pct,Customer Relationship Management software,20.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,erp_pct,Enterprise Resource Planning software,10.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,edi_pct,Electronic Data Interchange,16.0,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,digital_platforms_pct,Any digital platforms,55.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,cloud_pct,Cloud technology,72.7,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,cyber_security_software_pct,Cyber security software,66.3,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,data_analytics_pct,Data analytics,8.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
